Ind_2;Individual;Individual2;Species;Location;Gender;Age;Experiment;Treatment;Temperature;Duration;Date;Include;Replica
IndA1_Treat1_Temp28_Rep1;A1R1;A1;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;16-gen;TRUE;R1
IndA1_Treat1_Temp28_Rep2;A1R2;A1;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;23-gen;TRUE;R2
IndA1_Treat2_Temp25_Rep4;A1R4;A1;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA1_Treat2_Temp25_Rep6;A1R6;A1;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA2_Treat1_Temp28_Rep1;A2R1;A2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA2_Treat1_Temp28_Rep3;A2R3;A2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndA2_Treat2_Temp25_Rep4;A2R4;A2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA2_Treat2_Temp25_Rep5;A2R5;A2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndA2_Treat2_Temp25_Rep6;A2R6;A2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA3_Treat1_Temp28_Rep1;A3R1;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA3_Treat1_Temp28_Rep2;A3R2;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndA3_Treat1_Temp28_Rep3;A3R3;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndA3_Treat2_Temp25_Rep4;A3R4;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA3_Treat2_Temp25_Rep5;A3R5;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndA3_Treat2_Temp25_Rep6;A3R6;A3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA4_Treat1_Temp28_Rep1;A4R1;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA4_Treat1_Temp28_Rep2;A4R2;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndA4_Treat1_Temp28_Rep3;A4R3;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndA4_Treat2_Temp25_Rep4;A4R4;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA4_Treat2_Temp25_Rep5;A4R5;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndA4_Treat2_Temp25_Rep6;A4R6;A4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA5_Treat1_Temp28_Rep1;A5R1;A5;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA5_Treat1_Temp28_Rep2;A5R2;A5;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndA5_Treat1_Temp25_Rep4;A5R4;A5;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;NA;TRUE;R1
IndA8_Treat2_Temp25_Rep5;A8R5;A8;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;20-feb;TRUE;R2
IndA8_Treat2_Temp25_Rep6;A8R6;A8;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA6_Treat1_Temp28_Rep1;A6R1;A6;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA6_Treat1_Temp28_Rep2;A6R2;A6;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;23-gen;TRUE;R3
IndA6_Treat1_Temp28_Rep3;A6R3;A6;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndA9_Treat2_Temp25_Rep4;A9R4;A9;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA9_Treat2_Temp25_Rep5;A9R5;A9;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndA9_Treat2_Temp25_Rep6;A9R6;A9;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndA7_Treat1_Temp28_Rep1;A7R1;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndA7_Treat1_Temp28_Rep2;A7R2;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndA7_Treat1_Temp28_Rep3;A7R3;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndA7_Treat2_Temp25_Rep4;A7R4;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndA7_Treat2_Temp25_Rep5;A7R5;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndA7_Treat2_Temp25_Rep6;A7R6;A7;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndB1_Treat1_Temp28_Rep1;B1R1;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB1_Treat1_Temp28_Rep2;B1R2;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB1_Treat1_Temp28_Rep3;B1R3;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB1_Treat2_Temp25_Rep4;B1R4;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndB1_Treat2_Temp25_Rep5;B1R5;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndB1_Treat2_Temp25_Rep6;B1R6;B1;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndB2_Treat1_Temp28_Rep1;B2R1;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB2_Treat1_Temp28_Rep2;B2R2;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB2_Treat1_Temp28_Rep3;B2R3;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB2_Treat2_Temp25_Rep4;B2R4;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndB2_Treat2_Temp25_Rep5;B2R5;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndB2_Treat2_Temp25_Rep6;B2R6;B2;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3 
IndB3_Treat1_Temp28_Rep1;B3R1;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB3_Treat1_Temp28_Rep2;B3R2;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB3_Treat1_Temp28_Rep3;B3R3;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB3_Treat2_Temp25_Rep4;B3R4;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndB3_Treat2_Temp25_Rep5;B3R5;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndB3_Treat2_Temp25_Rep6;B3R6;B3;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndB4_Treat1_Temp28_Rep1;B4R1;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB4_Treat1_Temp28_Rep2;B4R2;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB4_Treat1_Temp28_Rep3;B4R3;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB4_Treat2_Temp25_Rep4;B4R4;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndB4_Treat2_Temp25_Rep5;B4R5;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndB4_Treat2_Temp25_Rep6;B4R6;B4;Poecilia_sphenops;Glasgow;F;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndB5_Treat1_Temp28_Rep1;B5R1;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB5_Treat1_Temp28_Rep2;B5R2;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB5_Treat1_Temp28_Rep3;B5R3;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB5_Treat2_Temp25_Rep6;B5R4;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
IndB5_Treat2_Temp25_Rep5;B5R5;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;21-feb;TRUE;R2
IndB5_Treat2_Temp25_Rep6;B5R6;B5;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;27-feb;TRUE;R3
IndB6_Treat1_Temp28_Rep1;B6R1;B6;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R1
IndB6_Treat1_Temp28_Rep2;B6R2;B6;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R2
IndB6_Treat1_Temp28_Rep3;B6R3;B6;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;28;20;NA;TRUE;R3
IndB6_Treat2_Temp25_Rep4;B6R4;B6;Poecilia_sphenops;Glasgow;M;Unknown;REP;ONE;25;20;14-feb;TRUE;R1
